Number of vertices	Min time	Max time	Average time
10	2.889998722821474e-05	3.0199997127056122e-05	2.95000111994644e-05
20	0.0024751999881118536	0.0025473000132478774	0.0025059666756230095
30	0.00037340004928410053	0.00042339996434748173	0.0003901666689974566
40	0.002464399964082986	0.002725200029090047	0.0025653666622626283
50	0.0025890000397339463	0.002655699965544045	0.0026114000162730613
60	0.1169464000267908	0.11905999999726191	0.11790210000860195
70	0.004787099955137819	0.0049736000364646316	0.0048626666733374195
80	0.004351900017354637	0.0043947999947704375	0.004371833327847223
90	0.007682900002691895	0.007999100023880601	0.007814600015990436
100	0.007198499981313944	0.007841899991035461	0.007548499988236775
110	0.011673300003167242	0.012213999987579882	0.012026066659018397
120	0.012216400005854666	0.013046299980487674	0.012631466651024917
130	0.018662700022105128	0.019190799968782812	0.018971200004064787
140	0.053412800014484674	0.055378699966240674	0.054616033332422376
150	0.03182500001275912	0.03414539998630062	0.03292050001133854
