Number of vertices	Min time	Max time	Average time
10	0.0003551000263541937	0.0003627000260166824	0.0003580333626208206
20	0.0008232000400312245	0.0008602000307291746	0.0008463000219004849
30	0.0009390999912284315	0.0009678000351414084	0.0009522666805423796
40	0.002280700020492077	0.002410199958831072	0.0023456999915651977
50	0.0012329000164754689	0.0014124999870546162	0.001300133337887625
60	0.001702000037766993	0.0018375000217929482	0.0017718000259871285
70	0.0026307000080123544	0.003327300015371293	0.0029493666758450368
80	0.004627799964509904	0.004868899995926768	0.0047698999793889625
90	0.015205400006379932	0.01636559999315068	0.015761133322181802
100	0.012933799996972084	0.01382480002939701	0.01346913333206127
110	0.012550099985674024	0.01289730001008138	0.012669733337437114
120	0.013053700036834925	0.013779799977783114	0.013499366662775477
130	0.015978300012648106	0.016747199988458306	0.016250899992883205
140	0.028389800048898906	0.02995490003377199	0.02911620003093655
150	0.0215887000085786	0.022497500001918525	0.022063566682239372
