Number of vertices	Min time	Max time	Average time
10	5.299999611452222e-05	5.570001667365432e-05	5.406667090331515e-05
20	0.00017359998309984803	0.00017829996068030596	0.00017559997892628113
30	0.00031890004174783826	0.00034090003464370966	0.0003322333407898744
40	0.0010947000118903816	0.0011399000068195164	0.0011104666821969051
50	0.0017894000047817826	0.0021052000229246914	0.0018963666710381706
60	0.0017905999557115138	0.0020611000363714993	0.0018863333389163017
70	0.0025603999965824187	0.0026127000455744565	0.0025852000107988715
80	0.003693800012115389	0.003800800011958927	0.0037403333311279616
90	0.00618880003457889	0.006474900001194328	0.006326799998835971
100	0.007513499993365258	0.008287299948278815	0.007860533311031759
110	0.012220799981150776	0.013402200012933463	0.01263156667118892
120	0.1743271999876015	0.17937399999937043	0.1761757666633154
130	0.05693910003174096	0.05922949995147064	0.0581249333336018
