Liczba wierzchołków	Min czas	Max czas	Średni czas
10	5.470000905916095e-05	0.0146692999987863	0.005017933338725318
20	0.00021529995137825608	0.04853720002574846	0.01633106666849926
30	0.0013637000229209661	0.028741099988110363	0.010595500003546476
40	0.0008971000206656754	0.010105199995450675	0.003987200014914076
50	0.0025170999579131603	0.12230740004451945	0.042614933336153626
60	0.002041500003542751	0.006268400000408292	0.003500400014066448
70	0.0037240000092424452	0.05082599999150261	0.023258466661597293
80	0.004346399975474924	0.010309199977200478	0.007058266647315274
90	0.006777499977033585	33.459991800016724	11.160822966659907
100	0.011760699970182031	0.01631249999627471	0.014503499997469286
110	0.008955700031947345	0.019326399953570217	0.015185199988385042
120	0.01067500002682209	0.6476928000338376	0.22579886669215435
130	0.012350199976935983	0.019181600015144795	0.01490773334323118
140	0.01484409999102354	0.07609629997750744	0.03922023331203187
150	0.021902200009208173	0.03915299999061972	0.028401266667060554
160	0.01846950000617653	0.027334699989296496	0.02145520000097652
170	0.020587199949659407	0.14355660002911463	0.06200206665865456
180	0.024563200015109032	0.02799640002194792	0.026177366671618074
190	0.029783399950247258	0.32125790003919974	0.12921553332125768
200	0.032000300008803606	0.10431429999880493	0.05944303333914528
210	0.03706800000509247	0.0899391999701038	0.05802373333911722
220	0.04053080000448972	0.4694205999840051	0.18483349999102452
230	0.06436650000978261	0.5828903000219725	0.24081076668032134
240	0.0469998000189662	1.367281099956017	0.8256898333202116
250	0.06201580003835261	0.1567841000505723	0.10175656668919449
260	0.056568400003015995	0.0594905000180006	0.05835790000855923
270	0.0633250999962911	70.1901904999977	23.44465023333517
280	0.19373189995530993	2.9324273999664	1.212139233306516
290	0.07290530001046136	0.10351909999735653	0.08380663332839806
300	0.08077950001461431	0.09100680000847206	0.08531070000026375
