Liczba wierzchołków	Min czas	Max czas	Średni czas
10	5.439994856715202e-05	0.0068718999973498285	0.0026196333152862885
20	0.00021039997227489948	0.013890299946069717	0.006614333290296297
30	0.0015495999832637608	0.056405599985737354	0.023536533330722403
40	0.0016845999634824693	0.002946800028439611	0.0024077999987639487
50	0.001617099973373115	0.012899500026833266	0.006046166662902881
60	0.0021003999863751233	1.1233400999917649	0.38023466665375355
70	0.0028651999891735613	0.006287099968176335	0.0041603999949681265
80	0.0043873999966308475	0.005494899989571422	0.005065599999700983
90	0.0048207000363618135	0.009585699997842312	0.006920200015883893
100	0.006120000034570694	0.016514199960511178	0.011961633339524269
110	0.009783700050320476	0.011939499992877245	0.010577033332083374
120	0.01047789998119697	0.017295099969487637	0.013759499978429327
130	0.012324200011789799	0.030659899988677353	0.02046433333695556
140	0.014440800005104393	0.04866470000706613	0.026553666665373992
150	0.015721599978860468	0.03043980000074953	0.022935433332653094
160	0.018953199964016676	1.894353299983777	0.650690366649845
170	0.02104790002340451	0.03515409998362884	0.025754433338685583
180	0.03203619999112561	0.06398219999391586	0.044527399993967265
190	0.03759409999474883	0.06788019998930395	0.04816859999361137
200	0.03406619996530935	0.05923289997735992	0.04980496666394174
210	0.045690500002820045	0.12633380002807826	0.07617096666945145
220	0.039937199966516346	0.2221688000136055	0.1026916999835521
230	0.04942480003228411	5.93512009998085	2.0154032333327145
240	0.054248299973551184	0.07971889997133985	0.0669356333091855
250	0.05377749999752268	7.318495800020173	2.5058048666687682
260	0.05881100002443418	0.07325270003639162	0.06654666668813054
270	0.0632876000017859	0.24653200001921505	0.1260543999960646
280	0.06766130001051351	0.07448629999998957	0.07003566667359944
290	0.07281530002364889	0.5790937999845482	0.24490970000624657
300	0.08111169998301193	0.10905960004311055	0.09127666667336598
